Date/Time,Media Description,Media Link
"You uploaded a feed photo on April 27, 2026 at 9:49 AM (GMT)","""Is it just me, or is it really hard to find a design job nowadays??
What started as a simple question turned out to be a passion project that filled upp my past two months. Plenty of interesting conversations with both sides of the table, countless reports and statistics, me trying to understand the bigger picture. 

The result? The Ghosted report. 

Out now, free for everyone. No stupid keywords in the comments. 
Just click the link bellow:

designloop.se

PS: Let me know what you think, if you agree or disagree. Feel free to share it with anyone that would find it useful.

Big thanks to all anonymous participants, Johan Berndtsson for quotes from his newsletter, Ryan Tinsley for the expert review and Jens Wedin for inspiration with the excellent State of Design.?",
"You uploaded a feed photo on March 4, 2026 at 8:45 AM (GMT)","Do you remember this meme?
The sender: I just wrote a whole email from a bullet point. 
The receiver: I just summarized that email into one bullet point.

We laughed and moved on. But I keep thinking about it. I believe it's not a meme, it's a prophecy. 

I use AI to help me write. I research faster, structure better, get unstuck when I'm staring at a blank page. The output is more polished than it would be without it. My AI-cowriter points out inconsistencies, redundancies or when I'm too passive aggressive (yep, that happens). 
But I know that somewhere out there, someone is probably using AI to summarize this post into three bullet points.

Which means there's a real chance that what I spent an hour thinking about gets dissolved into a sentence. Fed into the next person's context. Forgotten by the algorithm before anyone actually read it.

I started writing on LinkedIn to think out loud, to inspire and find people thinking about similar things. That still happens ? someone writes a personal comment or a DM that makes me reconsider something. Those moments feel real and makes it worth while. 

But mostly I'm stuck with this question: 
Am I writing to a person, or am I just feeding the algorithm?",
"You uploaded a feed photo on February 27, 2026 at 3:58 PM (GMT)","The best way to start making things with AI is to make it fun.
- No productivity gains. 
- No enterprise use case. 
- No ROI whatsoever.
Just build something easy and stupid that makes you smile.

The two things that kill most first attempts: 
""I don't have time."" And ""I don't know what to build.""

I built something that removes both excuses.

The friday-in.lovable.app is a random idea generator. It gives you a project and a prompt to start with. Your first version takes 15 minutes. You don't need to know anything. Just paste the prompt and go.

Build once a week. Build every day. Or just get a fresh idea in your inbox every Friday and make it a habit.
Don't start with why. Just start. 
Let's make Friday the build day.
Friday I'm in Love(able). ?? 

Find the link in the comments. 
And share your silly ideas with me. ",
"You uploaded a feed photo on February 26, 2026 at 7:55 AM (GMT)","Breakfast and company 
?????",
"You uploaded a feed photo on February 25, 2026 at 2:38 PM (GMT)","It's been 10 months since I left my last design job, and I still think of myself as a designer. Just not the kind UX job ads are looking for anymore.
I opened three senior UX roles this week. All of them asked for AI skills like proficiency in Figma Make, using ChatGPT to go faster, and confidence in AI-assisted wireframing.

That's not wrong. It's just describing 2019 design work with a 2026 plugin installed.

Here's what's actually changed for me and how I use AI:
? As a tool: I tell it to do specific things so I can focus on the parts that need me. 
? As a co-worker: I ask for opinions, pushback, a second read on decisions I'm not sure about. 
? As a mentor: to teach me things I don't know, fill gaps I'd normally paper over, challenge assumptions I've held for years.

That last one mattered most when I started teaching and hit a wall I didn't see coming. My instinct as a product designer is always to remove friction: smoother flows, less resistance, faster to the outcome.
But learning doesn't work that way, the friction IS the point. The right amount of resistance triggers thought, builds memory, and makes knowledge stick. I needed someone to challenge that old reflex. So I built a dedicated thinking partner: a combined pedagogy and UX expert I could work through the course with. Lesson by lesson, asking why the order mattered, where I was making it too easy, too hard, or too complex. Learning how to stitch separate lessons into something that holds together for both the learner and the school.

What job ads don't ask, and probably should:
How do you produce more value with AI, not just more output? 
How does AI make you a better designer, not just a faster one? 
And how do you delegate without giving away your thinking, your principles, or the human touch?

Those are the questions I'm figuring out in real time. Harder than learning a new tool. Far more interesting.",
"You uploaded a feed photo on February 23, 2026 at 11:51 AM (GMT)","""I made a prototype and it failed.""
""Nice! Congratulations! What did you learn?""

That's a completely normal conversation in UX. Failure is the point. You build to discover what work and what doesn't. BOTH are equally important. Your test, learn, iterate. 

Now replace ""prototype"" with ""AI pilot"" and watch the room panic.
95% of AI pilot projects fail, says ONE study. Apparently this is a crisis. The AI sky is falling. ? 

Here is the thing. 
The actual problem isn't the failure rate. It's the expectation. Companies treat AI like a magic pill ? slap it onto existing workflows, skip the messy middle, wait for money to rain from the sky. Then act surprised when a test behaves like a test.

A pilot is a prototype. It's supposed to break. That's what it's for.
Stop mourning the 95%. Get obsessed with the 5% that worked. Find out exactly why. Then build from there.

That's how UX has always worked. AI is no different. We already had Lean Startup and Lean UX. Now it's time for Lean AI.",
"You uploaded a feed photo on February 20, 2026 at 9:07 AM (GMT)","Should designers, I mean developers learn how to code?
Wait what? Of course developers should learn to code. what kind of stupid question is that?
- Yesterday the answer would be YES, without a doubt.
- Today, it?s still a Yes with a caveat.
- Tomorrow it will be a Maybe.

Take a car for example. You need a driving license to drive it but don?t need to become a mechanic. Understanding how your car works means you will be a better driver and a better car owner. You will make sure your car is in great condition, know what things you can fix by yourself and what needs an expert mechanic.

Leaning to code will still be valuable, but not necessary. Writing code by hand is quickly becoming an exception. Be able to read and understand code, the structures and how it works. That are the skills that are now more valuable than pushing out more lines of code. This is not a hypothetical future. Look at Anthropic or Spotify, with almost 0 manual coding. Todays outliers are the norms of tomorrow. 

The question isn't ""Should designers or developers learn to code?"" 
The question is: ""How much do I need to know to work effectively with AI?"" 
And the answer is: Enough to be dangerous. Enough to diagnose. Enough to drive. ",
"You uploaded a feed photo on February 18, 2026 at 11:36 AM (GMT)","Why the ""UX Designer"" role is disappearing

The LinkedIn is filled with UX people panicking about being redundant or accusing companies of not caring about users. 

I have a different perspective: ?UX Designer"" was never the destination. It was a solution to a problem we no longer have.

Think about how the UX-role emerged. Products got complex. Teams grew. No single person could own the whole thing anymore, so we divided it up. UX here. UI there. Research in a separate room. Front-end over the wall. Everyone did their piece and handed it to the next person, hoping the original intent survived the translation. The specialization made sense. It was a necessary response to scale and constraint.

But somewhere along the way we forgot it was a workaround. We turned it into an identity. A reason to stop at the wireframe and call it done. ""Now we design the user experience. Hooray!?""

The designers thriving right now are treating UX as strategic problem solving, not deliverable production, not just building legos with design systems. What AI can't do (at least not yet) is judge. It can't taste. It can't understand context the way someone who has met real users. 

The (AI) tools now let one person be strategic, do the research, sketch the flows, build a coded prototype almost indistinguishable from the final product, and ship it. The constraint that created the UX silo is dissolving. So the label is dissolving with it.

That's what Shopify and Duolingo understood. They didn't remove UX thinking ? it's baked into everything they do. They removed the fence that said UX thinking stops here and someone else takes over.

The workaround is over. The real work just got bigger.",
"You uploaded a feed photo on February 16, 2026 at 10:00 AM (GMT)","There's a post going viral right now, at least in the AI community. It?s written by a developer Matt Shumer, called ""Something Big Is Happening.""

It?s describing the rapidly growing capabilities of agentic AI. Things we all heard before. What's new and surprising is his comparison between AI and COVID?how something can be bubbling underneath the surface while most people don't see it coming. All the signs are there. We just don't want to believe them.

The AI advancements aren't slowing down. They're accelerating. Things that were impossible yesterday are expected today. And the gap between what's possible and what people are prepared for? That gap is widening.

Here's what worries me:
My students aren't ready for what's coming. Not because they're not smart or hardworking. But because the curriculum moves slowly, and AI is moving fast.
What used to be a strength?stable, time-tested education?is now a risk. The promise schools make is: ""We'll give you the tools, skills, and mindset to start your career."" But if those tools are already outdated by graduation, that promise breaks.

I'm not blaming the schools. Curriculum design takes time. Approval processes take time. Institutional change takes time. That used to work. Now the technology is changing faster than the process can adapt. That's the disconnect.

What developers are experiencing right now:
Shumer describes telling AI what he wants built, walking away for hours, and returning to find it done. Better than he would have done it himself. This isn't future speculation?this is his Monday morning. Developers watched AI go from ""helpful assistant"" to ""does my job"" in about eighteen months.

Designers, UX people, analysts, writers?they haven't experienced that radical shift yet. But they will. The question isn't if. It's when.

Why I'm building what I'm building:
I can't change institutional timelines. But I can teach what students actually need right now. That's why I'm building my AI course for designers. Not to replace what schools do, but to fill the gap between what's taught and what's required. To give students?and working professionals?a way to adapt before the shift hits their field. 

Because here's the truth: the people who figure this out in time will have options. The ones who wait will be scrambling. ",
"You uploaded a feed photo on February 14, 2026 at 8:09 AM (GMT)","How to Learn AI with AI
I was just testing to make stuff with AI. Building small apps that broke when things got hard. When I hit a wall, I stopped and moved on. This is a good and cheap way to get started, but will only get you that far. 
What I needed was structure. A real curriculum that would push me past the walls instead of letting me quit.

Here's what I did:
I set up three AI advisors in Claude, each with different skills and objectives:
- Product development expert (what to build and why)
- Technical mentor (how Lovable actually works)
- Learning designer (how to structure lessons that stick)
I showed them the scattered projects I'd already built, explained my goals, and asked them to design a course.

They argued with each other. They argued with me, I pushed back. What to start with, in what order, level of detail and mostly importantly, how to make it valuable and engaging. To and fro until we setled on a plan that I liked and believed in. 

The result: a 10-lesson curriculum that started exactly where I was and pushed me exactly where I needed to go. Better than the $2,000 courses I'd taken before ? because it was built for me, not for everyone.

So does this mean schools and courses are meaningless?
No. Good courses give you the foundation ? the basic knowledge and tools you can't skip. But they can't keep up with the pace of change or customize to where you actually are.

That's where AI fills the gap. It doesn't replace structured education. It extends it. You get a custom path forward once you've got the basics.
It still takes time and effort. But now you're in charge of your own learning journey.",
